datetime,temps
2023-03-12-00:00:00,7.5
2023-03-12-01:00:00,7.4
2023-03-12-02:00:00,7.0
2023-03-12-03:00:00,8.6
2023-03-12-04:00:00,7.8
2023-03-12-05:00:00,7.0
2023-03-12-06:00:00,6.7
2023-03-12-07:00:00,5.8
2023-03-12-08:00:00,6.5
2023-03-12-09:00:00,9.3
2023-03-12-10:00:00,10.6
2023-03-12-11:00:00,11.6
2023-03-12-12:00:00,13.1
2023-03-12-13:00:00,14.8
2023-03-12-14:00:00,13.3
2023-03-12-15:00:00,13.8
2023-03-12-16:00:00,13.1
2023-03-12-17:00:00,12.6
2023-03-12-18:00:00,10.7
2023-03-12-19:00:00,9.6
2023-03-12-20:00:00,7.7
2023-03-12-21:00:00,6.8
2023-03-12-22:00:00,6.5
2023-03-12-23:00:00,6.1
2023-03-13-00:00:00,4.8
2023-03-13-01:00:00,4.5
2023-03-13-02:00:00,3.9
2023-03-13-03:00:00,3.6
2023-03-13-04:00:00,3.9
2023-03-13-05:00:00,4.4
2023-03-13-06:00:00,4.3
2023-03-13-07:00:00,4.4
2023-03-13-08:00:00,6.4
2023-03-13-09:00:00,9.5
2023-03-13-10:00:00,11.9
2023-03-13-11:00:00,13.5
2023-03-13-12:00:00,13.7
2023-03-13-13:00:00,13.9
2023-03-13-14:00:00,14.1
2023-03-13-15:00:00,14.2
2023-03-13-16:00:00,14.0
2023-03-13-17:00:00,13.5
2023-03-13-18:00:00,12.3
2023-03-13-19:00:00,11.3
2023-03-13-20:00:00,10.0
2023-03-13-21:00:00,8.9
2023-03-13-22:00:00,10.0
2023-03-13-23:00:00,10.7
2023-03-14-00:00:00,11.3
2023-03-14-01:00:00,11.6
2023-03-14-02:00:00,11.4
2023-03-14-03:00:00,12.3
2023-03-14-04:00:00,13.2
2023-03-14-05:00:00,13.0
2023-03-14-06:00:00,13.1
2023-03-14-07:00:00,13.2
2023-03-14-08:00:00,12.8
2023-03-14-09:00:00,13.5
2023-03-14-10:00:00,13.7
2023-03-14-11:00:00,13.4
2023-03-14-12:00:00,13.5
2023-03-14-13:00:00,13.2
2023-03-14-14:00:00,13.2
2023-03-14-15:00:00,13.1
2023-03-14-16:00:00,13.1
2023-03-14-17:00:00,12.6
2023-03-14-18:00:00,12.5
2023-03-14-19:00:00,12.5
2023-03-14-20:00:00,12.0
2023-03-14-21:00:00,11.6
2023-03-14-22:00:00,11.5
2023-03-14-23:00:00,11.2
2023-03-15-00:00:00,11.2
2023-03-15-01:00:00,11.1
2023-03-15-02:00:00,10.8
2023-03-15-03:00:00,11.0
2023-03-15-04:00:00,11.5
2023-03-15-05:00:00,11.7
2023-03-15-06:00:00,10.9
2023-03-15-07:00:00,9.8
2023-03-15-08:00:00,9.5
2023-03-15-09:00:00,10.0
2023-03-15-10:00:00,10.2
2023-03-15-11:00:00,11.0
2023-03-15-12:00:00,12.9
2023-03-15-13:00:00,14.4
2023-03-15-14:00:00,14.2
2023-03-15-15:00:00,11.9
2023-03-15-16:00:00,12.3
2023-03-15-17:00:00,12.7
2023-03-15-18:00:00,12.2
2023-03-15-19:00:00,10.3
2023-03-15-20:00:00,9.7
2023-03-15-21:00:00,9.4
2023-03-15-22:00:00,8.6
2023-03-15-23:00:00,8.2
2023-03-16-00:00:00,7.1
2023-03-16-01:00:00,6.6
2023-03-16-02:00:00,6.8
2023-03-16-03:00:00,6.2
2023-03-16-04:00:00,4.1
2023-03-16-05:00:00,3.1
2023-03-16-06:00:00,2.5
2023-03-16-07:00:00,2.8
2023-03-16-08:00:00,5.7
2023-03-16-09:00:00,9.2
2023-03-16-10:00:00,11.0
2023-03-16-11:00:00,12.1
