no2,pm2.5,o3,pm10,datetime
15.299382716049383,78.0,44.0,85.0,2023-02-15-19:00:00
15.299382716049383,74.0,51.0,80.0,2023-02-15-20:00:00
15.299382716049383,77.0,23.0,83.0,2023-02-15-21:00:00
15.299382716049383,64.0,36.0,68.0,2023-02-15-22:00:00
15.299382716049383,65.0,39.0,70.0,2023-02-15-23:00:00
15.299382716049383,81.0,64.58951965065502,85.0,2023-02-16-00:00:00
15.299382716049383,59.0,43.0,63.0,2023-02-16-01:00:00
15.299382716049383,47.0,58.0,52.0,2023-02-16-02:00:00
15.299382716049383,51.0,59.0,54.0,2023-02-16-03:00:00
15.299382716049383,31.0,70.0,34.0,2023-02-16-04:00:00
15.299382716049383,29.0,70.0,32.0,2023-02-16-05:00:00
15.299382716049383,25.0,64.0,28.0,2023-02-16-06:00:00
15.299382716049383,26.0,59.0,29.0,2023-02-16-07:00:00
15.299382716049383,28.0,54.0,36.0,2023-02-16-08:00:00
15.299382716049383,23.0,45.0,32.0,2023-02-16-09:00:00
15.299382716049383,30.0,69.0,38.0,2023-02-16-10:00:00
15.299382716049383,42.0,72.0,47.0,2023-02-16-11:00:00
15.299382716049383,56.0,83.0,61.0,2023-02-16-12:00:00
15.299382716049383,60.0,99.0,64.0,2023-02-16-13:00:00
15.299382716049383,62.0,106.0,66.0,2023-02-16-14:00:00
15.299382716049383,57.0,102.0,61.0,2023-02-16-15:00:00
15.299382716049383,58.0,92.0,63.0,2023-02-16-16:00:00
15.299382716049383,58.0,89.0,64.0,2023-02-16-17:00:00
15.299382716049383,63.0,86.0,68.0,2023-02-16-18:00:00
15.299382716049383,63.0,80.0,68.0,2023-02-16-19:00:00
15.299382716049383,62.0,68.0,67.0,2023-02-16-20:00:00
15.299382716049383,71.0,38.0,75.0,2023-02-16-21:00:00
15.299382716049383,61.0,65.0,65.0,2023-02-16-22:00:00
15.299382716049383,31.0,77.0,33.0,2023-02-16-23:00:00
15.299382716049383,17.0,82.0,19.0,2023-02-17-00:00:00
15.299382716049383,24.0,64.58951965065502,26.0,2023-02-17-01:00:00
15.299382716049383,26.0,77.0,29.0,2023-02-17-02:00:00
15.299382716049383,27.0,55.0,30.0,2023-02-17-03:00:00
15.299382716049383,34.0,46.0,39.0,2023-02-17-04:00:00
15.299382716049383,50.0,51.0,54.0,2023-02-17-05:00:00
15.299382716049383,51.0,54.0,54.0,2023-02-17-06:00:00
15.299382716049383,55.0,92.0,58.0,2023-02-17-07:00:00
15.299382716049383,66.0,89.0,71.0,2023-02-17-08:00:00
15.299382716049383,61.0,93.0,64.0,2023-02-17-09:00:00
15.299382716049383,52.0,89.0,54.0,2023-02-17-10:00:00
15.299382716049383,51.0,87.0,54.0,2023-02-17-11:00:00
15.299382716049383,52.0,86.0,54.0,2023-02-17-12:00:00
15.299382716049383,51.0,92.0,53.0,2023-02-17-13:00:00
15.299382716049383,20.914364640883978,89.0,24.383091149273447,2023-02-17-14:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-17-15:00:00
15.299382716049383,58.0,64.58951965065502,61.0,2023-02-17-16:00:00
15.299382716049383,57.0,24.0,62.0,2023-02-17-17:00:00
15.299382716049383,52.0,52.0,55.0,2023-02-17-18:00:00
15.299382716049383,51.0,62.0,54.0,2023-02-17-19:00:00
15.299382716049383,52.0,73.0,56.0,2023-02-17-20:00:00
15.299382716049383,55.0,60.0,60.0,2023-02-17-21:00:00
15.299382716049383,78.0,47.0,84.0,2023-02-17-22:00:00
15.299382716049383,76.0,73.0,79.0,2023-02-17-23:00:00
15.299382716049383,69.0,48.0,72.0,2023-02-18-00:00:00
15.299382716049383,77.0,64.58951965065502,79.0,2023-02-18-01:00:00
15.299382716049383,73.0,60.0,76.0,2023-02-18-02:00:00
15.299382716049383,82.0,51.0,85.0,2023-02-18-03:00:00
15.299382716049383,72.0,45.0,75.0,2023-02-18-04:00:00
15.299382716049383,64.0,58.0,67.0,2023-02-18-05:00:00
15.299382716049383,61.0,30.0,65.0,2023-02-18-06:00:00
15.299382716049383,62.0,5.0,66.0,2023-02-18-07:00:00
15.299382716049383,69.0,13.0,81.0,2023-02-18-08:00:00
15.299382716049383,62.0,19.0,71.0,2023-02-18-09:00:00
15.299382716049383,62.0,28.0,69.0,2023-02-18-10:00:00
15.299382716049383,54.0,48.0,61.0,2023-02-18-11:00:00
15.299382716049383,50.0,53.0,57.0,2023-02-18-12:00:00
15.299382716049383,48.0,60.0,54.0,2023-02-18-13:00:00
15.299382716049383,35.0,78.0,40.0,2023-02-18-14:00:00
15.299382716049383,36.0,80.0,39.0,2023-02-18-15:00:00
15.299382716049383,38.0,74.0,43.0,2023-02-18-16:00:00
15.299382716049383,46.0,65.0,52.0,2023-02-18-17:00:00
15.299382716049383,52.0,35.0,59.0,2023-02-18-18:00:00
15.299382716049383,58.0,24.0,64.0,2023-02-18-19:00:00
15.299382716049383,59.0,38.0,63.0,2023-02-18-20:00:00
15.299382716049383,60.0,29.0,64.0,2023-02-18-21:00:00
15.299382716049383,56.0,48.0,60.0,2023-02-18-22:00:00
15.299382716049383,55.0,66.0,59.0,2023-02-18-23:00:00
15.299382716049383,49.0,81.0,52.0,2023-02-19-00:00:00
15.299382716049383,48.0,78.0,51.0,2023-02-19-01:00:00
15.299382716049383,49.0,64.58951965065502,52.0,2023-02-19-02:00:00
15.299382716049383,50.0,64.0,52.0,2023-02-19-03:00:00
15.299382716049383,51.0,45.0,54.0,2023-02-19-04:00:00
15.299382716049383,53.0,30.0,55.0,2023-02-19-05:00:00
15.299382716049383,52.0,24.0,54.0,2023-02-19-06:00:00
15.299382716049383,54.0,23.0,56.0,2023-02-19-07:00:00
15.299382716049383,57.0,21.0,59.0,2023-02-19-08:00:00
15.299382716049383,51.0,15.0,53.0,2023-02-19-09:00:00
15.299382716049383,49.0,21.0,52.0,2023-02-19-10:00:00
15.299382716049383,45.0,24.0,49.0,2023-02-19-11:00:00
15.299382716049383,49.0,27.0,53.0,2023-02-19-12:00:00
15.299382716049383,46.0,30.0,50.0,2023-02-19-13:00:00
15.299382716049383,51.0,34.0,55.0,2023-02-19-14:00:00
15.299382716049383,50.0,48.0,54.0,2023-02-19-15:00:00
15.299382716049383,49.0,52.0,55.0,2023-02-19-16:00:00
15.299382716049383,58.0,43.0,66.0,2023-02-19-17:00:00
15.299382716049383,68.0,28.0,77.0,2023-02-19-18:00:00
30.0,61.0,37.0,67.0,2023-02-19-19:00:00
27.0,52.0,39.0,57.0,2023-02-19-20:00:00
36.0,74.0,21.0,80.0,2023-02-19-21:00:00
42.0,69.0,8.0,74.0,2023-02-19-22:00:00
35.0,75.0,12.0,80.0,2023-02-19-23:00:00
28.0,76.0,16.0,80.0,2023-02-20-00:00:00
19.0,55.0,34.0,59.0,2023-02-20-01:00:00
31.0,55.0,64.58951965065502,59.0,2023-02-20-02:00:00
24.0,45.0,31.0,48.0,2023-02-20-03:00:00
8.0,27.0,57.0,29.0,2023-02-20-04:00:00
16.0,27.0,43.0,30.0,2023-02-20-05:00:00
35.0,28.0,18.0,30.0,2023-02-20-06:00:00
43.0,33.0,2.0,35.0,2023-02-20-07:00:00
48.0,35.0,6.0,38.0,2023-02-20-08:00:00
47.0,29.0,8.0,34.0,2023-02-20-09:00:00
30.0,23.0,40.0,27.0,2023-02-20-10:00:00
18.0,23.0,58.0,28.0,2023-02-20-11:00:00
21.0,28.0,56.0,39.0,2023-02-20-12:00:00
17.0,29.0,54.0,33.0,2023-02-20-13:00:00
14.0,36.0,57.0,40.0,2023-02-20-14:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-15:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-16:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-17:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-18:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-19:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-20:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-21:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-22:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-20-23:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-00:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-01:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-02:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-21-03:00:00
