datetime,temps,no2,pm2.5,o3,pm10
2023-03-12-00:00:00,7.5,3.0,2.0,76.0,3.0
2023-03-12-01:00:00,7.4,3.0,3.0,74.0,6.0
2023-03-12-02:00:00,7.0,3.0,3.0,76.0,5.0
2023-03-12-03:00:00,8.6,3.0,2.0,78.0,5.0
2023-03-12-04:00:00,7.8,3.0,3.0,78.0,5.0
2023-03-12-05:00:00,7.0,3.0,3.0,77.0,5.0
2023-03-12-06:00:00,6.7,3.0,3.0,77.0,6.0
2023-03-12-07:00:00,5.8,4.0,2.0,76.0,5.0
2023-03-12-08:00:00,6.5,7.0,2.0,74.0,5.0
2023-03-12-09:00:00,9.3,8.0,2.0,76.0,4.0
2023-03-12-10:00:00,10.6,10.0,2.0,74.0,4.0
2023-03-12-11:00:00,11.6,9.0,2.0,78.0,5.0
2023-03-12-12:00:00,13.1,6.0,2.0,64.58951965065502,4.0
2023-03-12-13:00:00,14.8,8.0,3.0,87.0,5.0
2023-03-12-14:00:00,13.3,5.0,3.0,92.0,6.0
2023-03-12-15:00:00,13.8,6.0,3.0,90.0,4.0
2023-03-12-16:00:00,13.1,9.0,4.0,86.0,7.0
2023-03-12-17:00:00,12.6,10.0,4.0,82.0,6.0
2023-03-12-18:00:00,10.7,11.0,6.0,77.0,9.0
2023-03-12-19:00:00,9.6,15.299382716049385,7.0,75.0,10.0
2023-03-12-20:00:00,7.7,17.0,9.0,64.0,12.0
2023-03-12-21:00:00,6.8,22.0,7.0,58.0,10.0
2023-03-12-22:00:00,6.5,20.0,12.0,51.0,15.0
2023-03-12-23:00:00,6.1,12.0,6.0,68.0,8.0
2023-03-13-00:00:00,4.8,17.0,9.0,54.0,10.0
2023-03-13-01:00:00,4.5,45.0,8.0,25.0,10.0
2023-03-13-02:00:00,3.9,16.0,6.0,60.0,7.0
2023-03-13-03:00:00,3.6,12.0,5.0,65.0,7.0
2023-03-13-04:00:00,3.9,4.0,4.0,79.0,6.0
2023-03-13-05:00:00,4.4,16.0,4.0,65.0,6.0
2023-03-13-06:00:00,4.3,28.0,5.0,45.0,8.0
2023-03-13-07:00:00,4.4,29.0,6.0,46.0,7.0
2023-03-13-08:00:00,6.4,51.0,9.0,23.0,15.0
2023-03-13-09:00:00,9.5,57.0,9.0,23.0,20.0
2023-03-13-10:00:00,11.9,43.0,8.0,49.0,20.0
2023-03-13-11:00:00,13.5,26.0,6.0,70.0,11.0
2023-03-13-12:00:00,13.7,30.0,5.0,64.58951965065502,8.0
2023-03-13-13:00:00,13.9,28.0,5.0,72.0,8.0
2023-03-13-14:00:00,14.1,18.0,4.0,79.0,6.0
2023-03-13-15:00:00,14.2,27.0,3.0,80.0,5.0
2023-03-13-16:00:00,14.0,21.0,3.0,85.0,7.0
2023-03-13-17:00:00,13.5,23.0,3.0,82.0,6.0
2023-03-13-18:00:00,12.3,53.0,6.0,48.0,9.0
2023-03-13-19:00:00,11.3,34.0,8.0,63.0,11.0
2023-03-13-20:00:00,10.0,15.299382716049385,10.0,62.0,15.0
2023-03-13-21:00:00,8.9,53.0,15.0,36.0,22.0
2023-03-13-22:00:00,10.0,57.0,14.0,27.0,18.0
2023-03-13-23:00:00,10.7,32.0,11.0,51.0,15.0
2023-03-14-00:00:00,11.3,25.0,8.0,57.0,11.0
2023-03-14-01:00:00,11.6,52.0,8.0,29.0,12.0
2023-03-14-02:00:00,11.4,45.0,9.0,30.0,12.0
2023-03-14-03:00:00,12.3,6.0,7.0,73.0,10.0
2023-03-14-04:00:00,13.2,1.0,5.0,79.0,8.0
2023-03-14-05:00:00,13.0,2.0,5.0,81.0,8.0
2023-03-14-06:00:00,13.1,2.0,5.0,81.0,8.0
2023-03-14-07:00:00,13.2,3.0,5.0,79.0,7.0
2023-03-14-08:00:00,12.8,2.0,4.0,82.0,8.0
2023-03-14-09:00:00,13.5,2.0,4.0,84.0,8.0
2023-03-14-10:00:00,13.7,2.0,5.0,84.0,8.0
2023-03-14-11:00:00,13.4,2.0,6.0,88.0,9.0
2023-03-14-12:00:00,13.5,3.0,6.0,90.0,9.0
2023-03-14-13:00:00,13.2,2.0,7.0,64.58951965065502,10.0
2023-03-14-14:00:00,13.2,2.0,8.0,95.0,11.0
2023-03-14-15:00:00,13.1,2.0,7.0,94.0,10.0
2023-03-14-16:00:00,13.1,2.0,6.0,95.0,9.0
2023-03-14-17:00:00,12.6,3.0,7.0,93.0,10.0
2023-03-14-18:00:00,12.5,11.0,8.0,82.0,11.0
2023-03-14-19:00:00,12.5,10.0,7.0,86.0,9.0
2023-03-14-20:00:00,12.0,15.299382716049385,7.0,84.0,9.0
2023-03-14-21:00:00,11.6,7.0,6.0,88.0,9.0
2023-03-14-22:00:00,11.5,12.0,6.0,77.0,8.0
2023-03-14-23:00:00,11.2,23.0,6.0,62.0,8.0
2023-03-15-00:00:00,11.2,5.0,4.0,84.0,6.0
2023-03-15-01:00:00,11.1,8.0,2.0,72.0,3.0
2023-03-15-02:00:00,10.8,7.0,20.914364640883974,66.0,2.0
2023-03-15-03:00:00,11.0,10.0,2.0,65.0,3.0
2023-03-15-04:00:00,11.5,11.0,2.0,65.0,3.0
2023-03-15-05:00:00,11.7,14.0,20.914364640883974,66.0,3.0
2023-03-15-06:00:00,10.9,19.0,20.914364640883974,64.0,5.0
2023-03-15-07:00:00,9.8,18.0,20.914364640883974,66.0,8.0
2023-03-15-08:00:00,9.5,13.0,20.914364640883974,70.0,2.0
2023-03-15-09:00:00,10.0,13.0,20.914364640883974,75.0,4.0
2023-03-15-10:00:00,10.2,12.0,20.914364640883974,77.0,3.0
2023-03-15-11:00:00,11.0,16.0,20.914364640883974,71.0,4.0
2023-03-15-12:00:00,12.9,14.0,20.914364640883974,75.0,6.0
2023-03-15-13:00:00,14.4,12.0,20.914364640883974,64.58951965065502,4.0
2023-03-15-14:00:00,14.2,13.0,20.914364640883974,80.0,3.0
2023-03-15-15:00:00,11.9,12.0,2.0,82.0,5.0
2023-03-15-16:00:00,12.3,9.0,20.914364640883974,87.0,3.0
2023-03-15-17:00:00,12.7,13.0,20.914364640883974,82.0,3.0
2023-03-15-18:00:00,12.2,40.0,2.0,55.0,11.0
2023-03-15-19:00:00,10.3,49.0,4.0,44.0,23.0
2023-03-15-20:00:00,9.7,21.0,4.0,63.0,7.0
2023-03-15-21:00:00,9.4,15.299382716049385,3.0,75.0,4.0
2023-03-15-22:00:00,8.6,9.0,3.0,75.0,5.0
2023-03-15-23:00:00,8.2,7.0,7.0,73.0,8.0
2023-03-16-00:00:00,7.1,4.0,4.0,79.0,5.0
2023-03-16-01:00:00,6.6,3.0,2.0,82.0,4.0
2023-03-16-02:00:00,6.8,2.0,2.0,82.0,3.0
2023-03-16-03:00:00,6.2,2.0,20.914364640883974,83.0,2.0
2023-03-16-04:00:00,4.1,5.0,20.914364640883974,79.0,2.0
2023-03-16-05:00:00,3.1,8.0,20.914364640883974,75.0,3.0
2023-03-16-06:00:00,2.5,30.0,4.0,47.0,6.0
2023-03-16-07:00:00,2.8,20.0,3.0,58.0,5.0
2023-03-16-08:00:00,5.7,27.0,3.0,64.58951965065502,7.0
2023-03-16-09:00:00,9.2,13.0,20.914364640883974,64.58951965065502,5.0
2023-03-16-10:00:00,11.0,10.0,20.914364640883974,64.58951965065502,3.0
2023-03-16-11:00:00,12.1,8.0,20.914364640883974,64.58951965065502,3.0
2023-03-16-12:00:00,12.0,6.0,20.914364640883974,64.58951965065502,4.0
2023-03-16-13:00:00,11.5,6.0,2.0,64.58951965065502,5.0
2023-03-16-14:00:00,12.1,8.0,20.914364640883974,64.58951965065502,4.0
2023-03-16-15:00:00,12.1,8.0,2.0,64.58951965065502,4.0
2023-03-16-16:00:00,12.3,7.0,20.914364640883974,64.58951965065502,4.0
2023-03-16-17:00:00,11.0,10.0,2.0,64.58951965065502,5.0
2023-03-16-18:00:00,10.2,19.0,5.0,64.58951965065502,8.0
2023-03-16-19:00:00,8.0,11.0,4.0,64.58951965065502,7.0
2023-03-16-20:00:00,6.5,27.0,6.0,64.58951965065502,7.0
2023-03-16-21:00:00,5.9,15.299382716049385,4.0,64.58951965065502,6.0
2023-03-16-22:00:00,4.8,14.0,8.0,64.58951965065502,10.0
2023-03-16-23:00:00,4.2,13.0,6.0,64.58951965065502,8.0
2023-03-17-00:00:00,3.6,3.0,4.0,64.58951965065502,5.0
2023-03-17-01:00:00,3.5,3.0,3.0,64.58951965065502,4.0
2023-03-17-02:00:00,3.1,8.0,2.0,64.58951965065502,3.0
2023-03-17-03:00:00,2.9,5.0,3.0,64.58951965065502,4.0
2023-03-17-04:00:00,2.5,2.0,3.0,64.58951965065502,4.0
2023-03-17-05:00:00,2.3,5.0,3.0,64.58951965065502,4.0
2023-03-17-06:00:00,2.5,16.0,3.0,64.58951965065502,5.0
2023-03-17-07:00:00,3.0,30.0,4.0,64.58951965065502,6.0
2023-03-17-08:00:00,5.4,48.0,7.0,64.58951965065502,16.0
2023-03-17-09:00:00,8.3,23.0,5.0,64.58951965065502,9.0
2023-03-17-10:00:00,10.1,15.299382716049385,20.914364640883974,64.58951965065502,24.383091149273447
2023-03-17-11:00:00,11.1,15.299382716049385,20.914364640883974,64.58951965065502,24.383091149273447
2023-03-17-12:00:00,11.3,9.0,5.0,64.58951965065502,7.0
2023-03-17-13:00:00,11.7,10.0,8.0,64.58951965065502,12.0
2023-03-17-14:00:00,12.6,8.0,10.0,64.58951965065502,14.0
2023-03-17-15:00:00,13.1,15.299382716049385,8.0,64.58951965065502,11.0
2023-03-17-16:00:00,12.4,9.0,6.0,106.0,10.0
2023-03-17-17:00:00,12.0,18.0,6.0,95.0,9.0
2023-03-17-18:00:00,9.1,27.0,10.0,82.0,13.0
2023-03-17-19:00:00,8.4,24.0,13.0,80.0,16.0
2023-03-17-20:00:00,7.0,18.0,10.0,90.0,13.0
2023-03-17-21:00:00,6.2,22.0,9.0,79.0,12.0
2023-03-17-22:00:00,5.7,15.299382716049385,13.0,75.0,16.0
2023-03-17-23:00:00,5.8,15.0,11.0,84.0,13.0
2023-03-18-00:00:00,4.8,8.0,11.0,100.0,13.0
2023-03-18-01:00:00,4.8,12.0,10.0,91.0,12.0
2023-03-18-02:00:00,4.3,9.0,10.0,90.0,12.0
2023-03-18-03:00:00,3.8,9.0,11.0,88.0,12.0
2023-03-18-04:00:00,3.7,6.0,10.0,96.0,12.0
2023-03-18-05:00:00,3.8,7.0,10.0,85.0,12.0
2023-03-18-06:00:00,3.2,13.0,11.0,87.0,13.0
2023-03-18-07:00:00,3.3,17.0,13.0,74.0,15.0
2023-03-18-08:00:00,5.9,23.0,15.0,75.0,20.0
2023-03-18-09:00:00,10.0,10.0,9.0,101.0,13.0
2023-03-18-10:00:00,11.5,14.0,9.0,94.0,11.0
2023-03-18-11:00:00,11.5,10.0,9.0,101.0,12.0
2023-03-18-12:00:00,11.6,8.0,9.0,116.0,12.0
2023-03-18-13:00:00,12.5,10.0,11.0,116.0,15.0
2023-03-18-14:00:00,12.6,11.0,7.0,111.0,11.0
2023-03-18-15:00:00,13.5,8.0,5.0,64.58951965065502,7.0
2023-03-18-16:00:00,12.6,8.0,6.0,115.0,8.0
2023-03-18-17:00:00,12.5,11.0,7.0,112.0,10.0
2023-03-18-18:00:00,11.1,33.0,12.0,82.0,17.0
2023-03-18-19:00:00,9.5,29.0,30.0,81.0,35.0
2023-03-18-20:00:00,7.5,29.0,10.0,85.0,13.0
2023-03-18-21:00:00,6.9,33.0,10.0,79.0,12.0
2023-03-18-22:00:00,5.9,15.299382716049385,32.0,68.0,35.0
2023-03-18-23:00:00,5.8,10.0,10.0,106.0,11.0
2023-03-19-00:00:00,5.8,14.0,9.0,90.0,11.0
2023-03-19-01:00:00,4.8,9.0,8.0,99.0,10.0
2023-03-19-02:00:00,5.3,11.0,11.0,100.0,13.0
2023-03-19-03:00:00,4.8,6.0,9.0,106.0,12.0
2023-03-19-04:00:00,4.3,5.0,11.0,109.0,12.0
2023-03-19-05:00:00,3.8,12.0,13.0,95.0,15.0
2023-03-19-06:00:00,4.3,18.0,12.0,81.0,15.0
2023-03-19-07:00:00,5.3,27.0,11.0,68.0,13.0
2023-03-19-08:00:00,7.3,50.0,14.0,41.0,17.0
2023-03-19-09:00:00,9.9,30.0,11.0,77.0,13.0
2023-03-19-10:00:00,12.0,35.0,10.0,65.0,13.0
2023-03-19-11:00:00,12.5,24.0,9.0,82.0,12.0
2023-03-19-12:00:00,13.0,13.0,7.0,97.0,8.0
2023-03-19-13:00:00,13.0,14.0,6.0,99.0,8.0
2023-03-19-14:00:00,13.1,10.0,5.0,110.0,7.0
2023-03-19-15:00:00,13.5,14.0,4.0,64.58951965065502,5.0
2023-03-19-16:00:00,13.0,9.0,4.0,112.0,7.0
2023-03-19-17:00:00,13.5,17.0,5.0,100.0,8.0
2023-03-19-18:00:00,12.5,26.0,15.0,87.0,18.0
2023-03-19-19:00:00,11.4,28.0,19.0,81.0,22.0
