datetime,temps,no2,pm2.5,o3,pm10
2023-03-18-19:00:00,9.4,29.0,30.0,81.0,35.0
2023-03-18-20:00:00,7.5,29.0,10.0,85.0,13.0
2023-03-18-21:00:00,6.6,33.0,10.0,79.0,12.0
2023-03-18-22:00:00,5.8,16.01155327342747,32.0,68.0,35.0
2023-03-18-23:00:00,5.1,10.0,10.0,106.0,11.0
2023-03-19-00:00:00,5.1,14.0,9.0,90.0,11.0
2023-03-19-01:00:00,4.8,9.0,8.0,99.0,10.0
2023-03-19-02:00:00,4.6,11.0,11.0,100.0,13.0
2023-03-19-03:00:00,3.9,6.0,9.0,106.0,12.0
2023-03-19-04:00:00,4.0,5.0,11.0,109.0,12.0
2023-03-19-05:00:00,3.5,12.0,13.0,95.0,15.0
2023-03-19-06:00:00,3.9,18.0,12.0,81.0,15.0
2023-03-19-07:00:00,4.6,27.0,11.0,68.0,13.0
2023-03-19-08:00:00,6.6,50.0,14.0,41.0,17.0
2023-03-19-09:00:00,9.6,30.0,11.0,77.0,13.0
2023-03-19-10:00:00,11.9,35.0,10.0,65.0,13.0
2023-03-19-11:00:00,12.7,24.0,9.0,82.0,12.0
2023-03-19-12:00:00,13.0,13.0,7.0,97.0,8.0
2023-03-19-13:00:00,13.0,14.0,6.0,99.0,8.0
2023-03-19-14:00:00,13.3,10.0,5.0,110.0,7.0
2023-03-19-15:00:00,13.4,14.0,4.0,67.01221001221002,5.0
2023-03-19-16:00:00,13.2,9.0,4.0,112.0,7.0
2023-03-19-17:00:00,13.2,17.0,5.0,100.0,8.0
2023-03-19-18:00:00,12.5,26.0,15.0,87.0,18.0
2023-03-19-19:00:00,11.4,28.0,19.0,81.0,22.0
2023-03-19-20:00:00,10.0,34.0,27.0,75.0,30.0
2023-03-19-21:00:00,9.4,26.0,29.0,75.0,31.0
2023-03-19-22:00:00,8.7,21.0,28.0,74.0,32.0
2023-03-19-23:00:00,8.5,16.01155327342747,31.0,64.0,34.0
2023-03-20-00:00:00,9.2,17.0,33.0,56.0,35.0
2023-03-20-01:00:00,9.4,10.0,22.0,75.0,24.0
2023-03-20-02:00:00,9.6,5.0,9.0,85.0,10.0
2023-03-20-03:00:00,9.9,3.0,6.0,95.0,6.0
2023-03-20-04:00:00,10.2,6.0,6.0,79.0,7.0
2023-03-20-05:00:00,9.6,12.0,6.0,65.0,7.0
2023-03-20-06:00:00,9.2,22.0,7.0,57.0,8.0
2023-03-20-07:00:00,9.4,35.0,7.0,40.0,8.0
2023-03-20-08:00:00,10.3,44.0,11.0,34.0,13.0
2023-03-20-09:00:00,10.7,26.0,7.0,75.0,8.0
2023-03-20-10:00:00,11.3,36.0,8.0,56.0,8.0
2023-03-20-11:00:00,12.3,17.0,8.0,85.0,9.0
2023-03-20-12:00:00,12.6,21.0,7.0,85.0,9.0
2023-03-20-13:00:00,12.7,9.0,5.0,105.0,7.0
2023-03-20-14:00:00,12.7,13.0,5.0,102.0,6.0
2023-03-20-15:00:00,12.6,21.0,5.0,92.0,7.0
2023-03-20-16:00:00,12.3,25.0,8.0,67.01221001221002,10.0
2023-03-20-17:00:00,12.3,22.0,8.0,85.0,10.0
2023-03-20-18:00:00,12.0,34.0,7.0,67.0,9.0
2023-03-20-19:00:00,11.5,38.0,14.0,58.0,16.0
2023-03-20-20:00:00,10.8,37.0,15.0,54.0,16.0
2023-03-20-21:00:00,9.7,55.0,18.0,31.0,21.0
2023-03-20-22:00:00,8.9,51.0,15.0,39.0,18.0
2023-03-20-23:00:00,7.6,16.01155327342747,12.0,53.0,14.0
2023-03-21-00:00:00,7.4,18.0,11.0,67.0,12.0
2023-03-21-01:00:00,7.2,16.0,13.0,62.0,13.0
2023-03-21-02:00:00,6.4,10.0,13.0,68.0,14.0
